code,description,unit
01,"ГУРУҲ ТИРИК ҲАЙВОНЛАР Изоҳлар: 1. Ушбу гуруҳга барча турдаги тирик ҳайвонлар киритилади, қуйидагилардан ташқари: (а) 0301, 0306, 0307 ёки 0308-товар позицияларидаги балиқ ва қисқичбақасимонлар, моллюска ва бошқа умуртқасиз сув ҳайвонлари; (б) 3002-товар позициясидаги микроорганизм културалари ва бошқа маҳсулотлар; ва (в) 9508-товар позициясидаги ҳайвонлар. Қўшимча ТИФ ТН код Позициянинг номи ўлчов бирлиги",
0101,"Тирик отлар, эшаклар, хачирлар ва хўтиклар: – отлар:",
0101210000,– зотли наслли ҳайвонлар,дона
010129,– бошқалар:,
0101291000,– – сўйиладиган,дона
0101299000,– – бошқалар,дона
0101300000,эшаклар,дона
0101900000,бошқалар,дона
0102,Тирик йирик шохли қорамол: – хонаки йирик шохли қорамол:,
010221,– зотли наслли ҳайвонлар:,
0102211000,– – ғунажин (биринчи болалашгача бўлган урғочилар),дона
0102213000,– – сигирлар,дона
0102219000,– – бошқалар,дона
010229,– бошқалар:,
0102290500,– – Bibos ёки Poephagus зотлари – – – бошқалар:,дона
0102291000,"– – – оғирлиги 80 кг дан юқори бўлмаган – – – – оғирлиги 80 кг дан юқори бўлган, бироқ 160 кг дан юқори бўлмаган:",дона
0102292100,– – – – сўйиладиган,дона
0102292900,"– – – – бошқалар – – – – оғирлиги 160 кг дан юқори бўлган, бироқ 300 кг дан юқори бўлмаган:",дона
0102294100,– – – – сўйиладиган,дона
0102294900,– – – – бошқалар – – – – оғирлиги 300 кгдан юқори бўлган: – – – – – ғунажин (биринчи болалашгача бўлган урғочилар):,дона
0102295100,– – – – – сўйиладиган,дона
0102295900,– – – – – бошқалар  – – – – – сигирлар:,дона
0102296100,– – – – – сўйиладиган,дона
0102296900,– – – – – бошқалар – – – – – бошқалар:,дона
0102299100,– – – – – сўйиладиган,дона
0102299900,– – – – – бошқалар – буйволлар:,дона
0102310000,– зотли наслли ҳайвонлар,дона
010239,– бошқалар:,
0102391000,– – хонаки тури,дона
0102399000,– – бошқалар,дона
010290,бошқалар:,
0102902000,– зотли наслли ҳайвонлар – – бошқалар:,дона
0102909100,– – хонаки тури,дона
0102909900,– – бошқалар,дона
0103,Тирик чўчқалар:,
0103100000,зотли наслли ҳайвонлар – бошқалар:,дона
010391,– оғирлиги 50 кг дан кам бўлган:,
0103911000,– – хонаки тури,дона
0103919000,– – бошқалар,дона
010392,– оғирлиги 50 кг ёки юқори бўлган: – – – хонаки тури:,
0103921100,"– – – камида бир марта насл берган, 160 кг дан кам бўлмаган она чўчқа",дона
0103921900,– – – бошқалар,дона
0103929000,– – бошқалар,дона
0104,Тирик қўй ва эчкилар:,
010410,қўйлар:,
0104101000,– зотли наслли ҳайвонлар – – бошқалар:,дона
0104103000,– – қўзичоқлар (1 ёшгача бўлган),дона
0104108000,– – бошқалар,дона
010420,эчкилар:,
0104201000,– зотли наслли ҳайвонлар,дона
0104209000,– бошқалар,дона
0105,"Тирик уй паррандалари, хонаки товуқлар (Gallus domesticus), ўрдак, ғоз, куркалар ва цесаркалар: – оғирлиги 185 граммдан ошиқ бўлмаган:",
010511,– хонаки товуқлар (Gallus domesticus): – – – ота ва она авлодининг наслини кўпайтирувчи жўжалар:,
0105111100,– – – тухум қўядиган товуқлар йўналиши,дона
0105111900,– – – бошқалар,дона
0105119100,– – – тухум қўядиган товуқлар йўналиши,дона
0105119900,– – – бошқалар,дона
0105120000,– куркалар,дона
0105130000,– ўрдаклар,дона
0105140000,– ғозлар,дона
0105150000,– цесаркалар – бошқалар:,дона
0105940000,– хонаки товуқлар (Gallus domesticus),дона
010599,– бошқалар:,
0105991000,– – ўрдаклар,дона
0105992000,– – ғозлар,дона
0105993000,– – куркалар,дона
0105995000,– – цесаркалар,дона
0106,Бошқа тирик ҳайвонлар: – сутэмизувчилар:,
01061100,– приматлар:,
0106110010,– – илмий тадқиқот мақсадлари учун,дона
0106110090,– – бошқалар,дона
01061200,"– китлар, дельфинлар, денгиз чўчқаси (Cetacea сутэмизувчилар отряди); ламантин ва дюгонлар (Sirenia сутэмизувчилар отряди); тюлень, денгиз шери ва морж (Pinnipedia сутэмизувчилар отряди):",
0106120010,– – илмий-тадқиқот учун,дона
0106120090,– – бошқалар,дона
01061300,– туялар ва бошқа туясимонлар оиласига тегишли ҳайвонлар (Camelidae):,
0106130010,– – илмий тадқиқот учун,дона
0106130090,– – бошқалар,дона
010614,– хонаки ва ёввойи қуёнлар:,
01061410,– – хонаки қуёнлар:,
0106141010,– – – илмий-тадқиқот учун,дона
0106141090,– – – бошқалар,дона
01061490,– – бошқалар:,
0106149010,– – – илмий тадқиқот учун,дона
0106149090,– – – бошқалар,дона
01061900,– бошқалар:,
0106190010,– – илмий тадқиқот учун,дона
010619009,– – бошқалар:,
0106190091,– – – тулкилар,дона
0106190092,– – – арктика тулкилари,дона
0106190093,– – – сувсарлар,дона
0106190094,– – – қоракузанлар,дона
0106190099,– – – бошқалар,дона
01062000,"судралиб юрувчилар (шу жумладан, тошбақа ва илонлар):",
0106200010,– илмий тадқиқот учун,дона
0106200090,– бошқалар,дона
01063100,– йиртқич қушлар:,
0106310010,– – илмий тадқиқот учун,дона
0106310090,– – бошқалар,дона
01063200,"– тўтиқушсимонлар (шу жумладан, тўтиқуш, узун думли тўтиқуш, ара ва какаду):",
0106320010,– – илмий тадқиқот учун,дона
0106320090,– – бошқалар,дона
01063300,– туяқушлар; эму (Dromaius novaehollandiae):,
0106330010,– – илмий тадқиқот учун,дона
0106330090,– – бошқалар,дона
010639,– бошқалар:,
0106391000,– – кабутарлар,дона
01063980,– – бошқалар:,
0106398010,– – – илмий тадқиқот учун,дона
0106398090,– – – бошқалар – ҳашаротлар:,дона
010641000,– асаларилар – – – бол асаларилари:,
0106410001,– – – она асалари,дона
0106410002,– – – асалари пакетлари,дона
0106410003,– – – бошқалар – – – бошқалар:,дона
0106410008,– – – илмий тадқиқот учун,дона
0106410009,– – – бошқалар,дона
010649000,– бошқалар,
0106490001,– – илмий тадқиқот учун,дона
0106490009,– – бошқалар,дона
01069000,бошқалар:,
0106900010,– илмий тадқиқот учун ҳайвонлар,дона
0106900090,– бошқалар,дона
